GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,AddSubjectToRole,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,SoftTokenRequestResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,FindCertsResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetEjbcaVersionResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UserDataVOWS,304,0,4,0,97,0,43,0,41,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,TokenCertificateRequestWS,174,0,0,0,50,0,19,0,19,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RepublishCertificateResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ApprovalRequestExpiredException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetPublisherQueueLengthResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAvailableCAsResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,EditUser,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UnknownProfileTypeException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CheckRevokationStatusResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificatesByExpirationTimeAndIssuerResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeCertWithMetadataResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CertificateRequest,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ApprovalRequestExecutionException,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAvailableCertificateProfiles,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,FetchUserDataResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,SoftTokenRequest,31,0,0,0,13,0,9,0,9,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,MultipleMatchException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,KeyStore,47,0,0,0,15,0,6,0,6,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,SpkacRequest,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,KeyRecoverResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GenTokenCertificates,42,0,2,0,16,0,11,0,10,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetEjbcaVersion,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CreateCAResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,FindUser,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAuthorizedEndEntityProfilesResponse,14,0,2,0,4,0,3,0,2,0
